target_id	length	eff_length	est_counts	tpm
NM_001305288.1	1667	1568	0	0
NM_001305289.1	2178	2079	1.33205	0.702441
NM_001305290.1	963	864	168	213.177
NM_001305291.1	722	623	0	0
NM_001305292.1	2315	2216	0	0
NM_001305293.1	2561	2462	220	97.9667
NM_001305294.1	435	336	0	0
NM_001305295.1	3641	3542	207	64.0716
NM_001305296.1	1113	1014	419	453.023
NM_001305297.1	2361	2262	21	10.1782
NM_001305298.1	681	582	8.61149	16.2218
NM_001305299.1	1313	1214	18.67	16.8605
NM_001305300.1	2361	2262	7	3.39273
NM_001305301.1	5652	5553	88.5248	17.4776
NM_001305302.1	1626	1527	3	2.1539
NM_001305303.1	1254	1155	7	6.64446
NM_001305304.1	774	675	0	0
NM_001305305.1	3436	3337	35.5856	11.6913
NM_001305306.1	1631	1532	3	2.14687
NM_001305307.1	543	444	1.26356	3.12002
NM_001305308.1	1760	1661	1	0.660046
NM_001305309.1	1685	1586	2	1.38252
NM_001305310.1	833	734	88	131.441
NM_001305311.1	1912	1813	1.35645	0.820254
NM_001305312.1	3517	3418	68	21.8113
NM_001305313.2	1779	1680	631.516	412.115
NM_001305314.1	524	425	1189	3067.16
NM_001305315.1	1100	1001	24	26.2858
NM_001305316.1	3845	3746	3	0.878006
NM_001305317.1	1655	1556	22	15.5009
NM_001305318.1	772	673	2150	3502.41
NM_001305319.1	2422	2323	4	1.88779
NM_001305320.1	1257	1158	11	10.4142
NM_001305321.1	2333	2234	0	0
NM_001305322.1	1955	1856	11.786	6.96195
NM_001305323.1	1697	1598	0	0
NM_001305324.1	4857	4758	0	0
NM_001305325.1	1260	1161	383.901	362.519
NM_001305326.1	2144	2045	3	1.60832
NM_001305327.1	1474	1375	1	0.797336
NM_001305328.1	1420	1321	96	79.6732
NM_001305329.1	3088	2989	2.35108	0.862352
NM_001305330.1	1983	1884	15	8.72879
NM_001305331.1	1416	1317	0	0
NM_001305332.1	2647	2548	155.669	66.98
NM_001305333.1	1727	1628	253	170.377
NM_001305334.1	1170	1071	0	0
NM_001305335.1	1420	1321	126	104.571
NM_001305336.1	1301	1202	15	13.6814
NM_001305337.1	3182	3083	187	66.4985
NM_001305338.1	561	462	1253	2973.4
NM_001305339.1	1063	964	16	18.1965
NM_001305340.1	1914	1815	108	65.2365
NM_001305341.1	3018	2919	15.8381	5.94857
NM_001305342.1	1568	1469	14	10.4484
NM_001305343.1	381	282	1173	4560.29
NM_001305344.1	1713	1614	4	2.71707
NM_001305345.1	478	379	6.11108	17.6776
NM_001305346.1	794	695	0	0
NM_001305347.1	529	430	0	0
NM_001305348.1	5074	4975	0	0
NM_001305349.1	2016	1917	3.39624	1.94231
NM_001305350.1	1904	1805	0	0
NM_001305351.1	1392	1293	0	0
NM_001305352.1	874	775	1960	2772.67
NM_001305353.1	1804	1705	3	1.92904
NM_001305354.1	2065	1966	78.7969	43.9409
NM_001305355.1	2154	2055	278.42	148.536
NM_001305356.1	5728	5629	133.657	26.0318
NM_001305358.1	1594	1495	25	18.3334
NM_001305359.1	1918	1819	1.17389	0.707521
NM_001305360.1	1214	1115	0	0
