target_id	length	eff_length	est_counts	tpm
NM_001305288.1	1667	1568	0	0
NM_001305289.1	2178	2079	0	0
NM_001305290.1	963	864	128	138.074
NM_001305291.1	722	623	0	0
NM_001305292.1	2315	2216	3	1.26173
NM_001305293.1	2561	2462	233	88.2031
NM_001305294.1	435	336	0	0
NM_001305295.1	3641	3542	394	103.672
NM_001305296.1	1113	1014	301	276.659
NM_001305297.1	2361	2262	14	5.76835
NM_001305298.1	681	582	13.3432	21.3675
NM_001305299.1	1313	1214	0	0
NM_001305300.1	2361	2262	7.00708	2.88709
NM_001305301.1	5652	5553	142.218	23.8695
NM_001305302.1	1626	1527	3	1.83104
NM_001305303.1	1254	1155	13	10.49
NM_001305304.1	774	675	1.39504	1.92619
NM_001305305.1	3436	3337	25.4296	7.10232
NM_001305306.1	1631	1532	1	0.608355
NM_001305307.1	543	444	0	0
NM_001305308.1	1760	1661	0	0
NM_001305309.1	1685	1586	28	16.454
NM_001305310.1	833	734	119	151.101
NM_001305311.1	1912	1813	0	0
NM_001305312.1	3517	3418	56	15.2697
NM_001305313.2	1779	1680	635.481	352.54
NM_001305314.1	524	425	914	2004.35
NM_001305315.1	1100	1001	49.238	45.8439
NM_001305316.1	3845	3746	6	1.49279
NM_001305317.1	1655	1556	35	20.964
NM_001305318.1	772	673	1714	2373.62
NM_001305319.1	2422	2323	106	42.5278
NM_001305320.1	1257	1158	6	4.82901
NM_001305321.1	2333	2234	2	0.834378
NM_001305322.1	1955	1856	4.33483	2.17676
NM_001305323.1	1697	1598	10	5.83229
NM_001305324.1	4857	4758	1.04489	0.204674
NM_001305325.1	1260	1161	32	25.6882
NM_001305326.1	2144	2045	5	2.27873
NM_001305327.1	1474	1375	7	4.74473
NM_001305328.1	1420	1321	106	74.7858
NM_001305329.1	3088	2989	0	0
NM_001305330.1	1983	1884	9	4.45223
NM_001305331.1	1416	1317	0	0
NM_001305332.1	2647	2548	132	48.2826
NM_001305333.1	1727	1628	822	470.58
NM_001305334.1	1170	1071	0	0
NM_001305335.1	1420	1321	102	71.9636
NM_001305336.1	1301	1202	11	8.52912
NM_001305337.1	3182	3083	144	43.5316
NM_001305338.1	561	462	738	1488.78
NM_001305339.1	1063	964	36	34.805
NM_001305340.1	1914	1815	294	150.969
NM_001305341.1	3018	2919	17.0253	5.43596
NM_001305342.1	1568	1469	20	12.6889
NM_001305343.1	381	282	842	2782.78
NM_001305344.1	1713	1614	6	3.46468
NM_001305345.1	478	379	1.66217	4.08744
NM_001305346.1	794	695	204.079	273.672
NM_001305347.1	529	430	4	8.66977
NM_001305348.1	5074	4975	0	0
NM_001305349.1	2016	1917	0	0
NM_001305350.1	1904	1805	0	0
NM_001305351.1	1392	1293	4	2.88322
NM_001305352.1	874	775	1576	1895.27
NM_001305353.1	1804	1705	13	7.10616
NM_001305354.1	2065	1966	31.8388	15.0935
NM_001305355.1	2154	2055	840.29	381.095
NM_001305356.1	5728	5629	102.974	17.0495
NM_001305358.1	1594	1495	13	8.10435
NM_001305359.1	1918	1819	2.52852	1.29554
NM_001305360.1	1214	1115	0	0
NM_001305361.1	987	888	8	8.39639
NM_001305362.1	2744	2645	384	135.307
NM_001305363.1	1608	1509	20	12.3525
NM_001305364.1	1404	1305	1	0.714176
NM_001305365.1	1546	1447	78	50.2391
NM_001305367.1	523	424	386.802	850.234
NM_001305368.2	1716	1617	12.8814	7.42455
NM_001305369.2	583	484	1059	2039.23
NM_001305370.1	1788	1689	29.2091	16.1178
NM_001305371.1	1531	1432	0	0
NM_001305372.1	792	693	297	399.428
NM_001305373.1	1593	1494	701	437.304
NM_001305375.1	527	428	0	0
NM_001305376.1	674	575	289.197	468.751
NM_001305377.1	3063	2964	27.4102	8.61886
NM_001305378.1	3255	3156	6.18654	1.82695
NM_001305379.1	5926	5827	17.064	2.7293
NM_001305380.1	2571	2472	32.0373	12.0788
NM_001305381.2	1961	1862	36	18.0193
NM_001308835.1	2208	2109	15.9378	7.04315
NM_001308838.2	1156	1057	0	0
NM_001308841.1	1419	1320	174	122.855
NM_001308844.1	1404	1305	6	4.28506
NM_001308845.1	1170	1071	0	0
NM_001308852.1	818	719	0	0
NM_001308854.1	2445	2346	0	0
NM_001308855.1	1515	1416	1.01705	0.669415
NM_001308857.1	1022	923	3	3.02925
NM_001308859.1	1131	1032	0	0
NM_001308861.1	721	622	15	22.4759
NM_001308865.1	1958	1859	1	0.501345
NM_001308866.2	1811	1712	0	0
NM_001308870.1	1830	1731	6	3.2305
NM_001308872.1	2265	2166	61	26.2475
NM_001308876.1	1452	1353	62	42.708
NM_001308878.1	2290	2191	0	0
NM_001308879.1	2688	2589	83	29.8787
NM_001308882.2	1264	1165	132	105.6
NM_001308885.1	1854	1755	3	1.59316
NM_001308886.1	3234	3135	199	59.1604
NM_001308888.2	637	538	304.78	527.984
NM_001308889.1	1663	1564	851	507.118
NM_001308892.1	549	450	10	20.7111
NM_001308896.1	1002	903	0	0
NM_001308898.1	1357	1258	0	0
NM_001308899.1	2293	2194	2.61649	1.11147
NM_001308902.1	785	686	0	0
NM_001308905.1	1535	1436	18	11.6824
NM_001308906.2	2136	2037	0.350142	0.160202
NM_001308908.1	908	809	0	0
NM_001308909.1	1836	1737	39	20.9257
NM_001308913.1	2259	2160	40.0346	17.2742
NM_001308915.1	1541	1442	727	469.878
NM_001308918.1	965	866	0	0
NM_001308924.1	3079	2980	67	20.9544
NM_001319969.1	1722	1623	10	5.74245
NM_001319970.1	1068	969	84	80.7926
NM_001367274.1	1042	943	0.000402986	0.000398285
NM_001367275.1	1033	934	6.9996	6.98461
NM_001367293.1	2261	2162	38.0759	16.4139
NM_001367294.1	2136	2037	706.669	323.326
NM_001367295.1	2230	2131	3.7136e-05	1.62416e-05
NM_001367296.1	2105	2006	6.11633	2.84168
XM_011413559.3	1856	1757	0	0
XM_011413566.3	3391	3292	0	0
XM_011413583.3	1341	1242	0	0
XM_011413585.3	1269	1170	0	0
XM_011413589.3	5392	5293	0.22375	0.0393982
XM_011413590.3	5222	5123	65.951	11.9981
XM_011413596.3	1119	1020	7	6.39608
XM_011413597.3	2536	2437	0	0
XM_011413601.3	3080	2981	10	3.12647
XM_011413602.3	3013	2914	0	0
XM_011413623.3	1877	1778	9	4.71766
XM_011413624.3	2409	2310	11	4.43809
XM_011413626.3	5017	4918	22	4.16917
XM_011413629.3	3564	3465	0	0
XM_011413631.3	1371	1272	0	0
XM_011413632.3	1739	1640	0	0
XM_011413633.3	1667	1568	0.312582	0.185795
XM_011413636.3	1087	988	25	23.583
XM_011413642.3	1701	1602	0	0
XM_011413646.3	1893	1794	19.9997	10.3901
XM_011413649.3	806	707	672	885.861
XM_011413651.3	3224	3125	5	1.4912
XM_011413652.3	3776	3677	19.894	5.04247
XM_011413653.3	3811	3712	0.00128922	0.000323693
XM_011413654.3	3795	3696	0.104737	0.0264109
XM_011413655.3	2831	2732	2.84837	0.971699
XM_011413656.3	5026	4927	0	0
XM_011413657.3	4988	4889	0	0
XM_011413658.3	4994	4895	2.51939	0.479688
XM_011413659.3	4990	4891	0	0
XM_011413660.3	4856	4757	44.8045	8.77818
XM_011413662.3	1889	1790	6	3.12402
XM_011413664.3	2379	2280	10.4538	4.2732
XM_011413665.3	2523	2424	21	8.07426
XM_011413666.3	2845	2746	66.395	22.5346
XM_011413667.3	2122	2023	0	0
XM_011413668.3	2028	1929	0	0
XM_011413669.3	1984	1885	0	0
XM_011413671.3	2089	1990	0	0
XM_011413672.3	2083	1984	0	0
