target_id	length	eff_length	est_counts	tpm
NM_001305288.1	1667	1568	0	0
NM_001305289.1	2178	2079	2	0.8075
NM_001305290.1	963	864	143	138.928
NM_001305291.1	722	623	2	2.69469
NM_001305292.1	2315	2216	12	4.54547
NM_001305293.1	2561	2462	210	71.5976
NM_001305294.1	435	336	0	0
NM_001305295.1	3641	3542	129	30.5709
NM_001305296.1	1113	1014	320	264.898
NM_001305297.1	2361	2262	77	28.5736
NM_001305298.1	681	582	22	31.7298
NM_001305299.1	1313	1214	6.55642	4.53331
NM_001305300.1	2361	2262	6	2.22652
NM_001305301.1	5652	5553	66.2639	10.0165
NM_001305302.1	1626	1527	5	2.74851
NM_001305303.1	1254	1155	14	10.1745
NM_001305304.1	774	675	0	0
NM_001305305.1	3436	3337	39.365	9.90195
NM_001305306.1	1631	1532	0	0
NM_001305307.1	543	444	0	0
NM_001305308.1	1760	1661	1.43746	0.726431
NM_001305309.1	1685	1586	1	0.529254
NM_001305310.1	833	734	98	112.072
NM_001305311.1	1912	1813	3.05723	1.41546
NM_001305312.1	3517	3418	31.0389	7.62258
NM_001305313.2	1779	1680	716.186	357.836
NM_001305314.1	524	425	869	1716.32
NM_001305315.1	1100	1001	92.4758	77.5463
NM_001305316.1	3845	3746	8	1.79262
NM_001305317.1	1655	1556	13	7.01295
NM_001305318.1	772	673	1502	1873.36
NM_001305319.1	2422	2323	51	18.4284
NM_001305320.1	1257	1158	22	15.9471
NM_001305321.1	2333	2234	1	0.375737
NM_001305322.1	1955	1856	8.86697	4.01018
NM_001305323.1	1697	1598	0	0
NM_001305324.1	4857	4758	2	0.352836
NM_001305325.1	1260	1161	519.826	375.831
NM_001305326.1	2144	2045	5.57046	2.28647
NM_001305327.1	1474	1375	0	0
NM_001305328.1	1420	1321	127	80.699
NM_001305329.1	3088	2989	6.91916	1.9431
NM_001305330.1	1983	1884	23	10.2474
NM_001305331.1	1416	1317	0	0
NM_001305332.1	2647	2548	95.4594	31.4475
NM_001305333.1	1727	1628	300	154.68
NM_001305334.1	1170	1071	3	2.35125
NM_001305335.1	1420	1321	209	132.804
NM_001305336.1	1301	1202	26	18.1567
NM_001305337.1	3182	3083	157	42.7458
NM_001305338.1	561	462	407	739.468
NM_001305339.1	1063	964	12	10.4489
NM_001305340.1	1914	1815	181	83.7084
NM_001305341.1	3018	2919	7.20699	2.07246
NM_001305342.1	1568	1469	20	11.4281
NM_001305343.1	381	282	964	2869.43
NM_001305344.1	1713	1614	5	2.60036
NM_001305345.1	478	379	2.5539	5.65629
NM_001305346.1	794	695	66.915	80.8176
NM_001305347.1	529	430	0	0
NM_001305348.1	5074	4975	0	0
NM_001305349.1	2016	1917	3.64535	1.59619
NM_001305350.1	1904	1805	0	0
NM_001305351.1	1392	1293	1	0.649185
NM_001305352.1	874	775	1479	1601.89
NM_001305353.1	1804	1705	5	2.46157
NM_001305354.1	2065	1966	77.3635	33.0309
NM_001305355.1	2154	2055	312.526	127.656
NM_001305356.1	5728	5629	104.693	15.6119
NM_001305358.1	1594	1495	24	13.4753
NM_001305359.1	1918	1819	6.56342	3.02876
NM_001305360.1	1214	1115	0	0
NM_001305361.1	987	888	4	3.78106
NM_001305362.1	2744	2645	181	57.4407
NM_001305363.1	1608	1509	667	371.025
NM_001305364.1	1404	1305	0	0
NM_001305365.1	1546	1447	35	20.3033
NM_001305367.1	523	424	399.972	791.828
NM_001305368.2	1716	1617	4.35484	2.26063
NM_001305369.2	583	484	1480	2566.75
NM_001305370.1	1788	1689	21.9059	10.8868
NM_001305371.1	1531	1432	0	0
NM_001305372.1	792	693	253	306.446
